Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
Morgan Freeman (I)|Power of One, The (1992)
Morgan Freeman (I)|Robin Hood: Prince of Thieves (1991)
Morgan Freeman (I)|Scandalize My Name: Stories from the Blacklist (1998)
Morgan Freeman (I)|Screening (1998)
Morgan Freeman (I)|Se7en (1995)
Morgan Freeman (I)|Shawshank Redemption, The (1994)
Morgan Freeman (I)|Street Smart (1987)
Morgan Freeman (I)|Sum of All Fears, The (2002)
Morgan Freeman (I)|Survivors of the Shoah: Visual History Foundation (2004)
Morgan Freeman (I)|Teachers (1984)
Morgan Freeman (I)|That Was Then... This Is Now (1985)
Morgan Freeman (I)|True Story of Glory Continues, The (1991)
Morgan Freeman (I)|Tusker (2004)
Morgan Freeman (I)|Under Suspicion (2000)
Morgan Freeman (I)|Unfinished Life, An (2004)
Morgan Freeman (I)|Unforgiven (1992)
Morgan Freeman (I)|Untitled Morgan Freeman WWII Project (2006)
Morgan Freeman (I)|Who Says I Can't Ride a Rainbow? (1971)
Clark Gable|1950's: Music, Memories & Milestones, The (1988)
Clark Gable|Across the Wide Missouri (1951)
Clark Gable|Adventure (1945)
Clark Gable|After Office Hours (1935)
Clark Gable|Any Number Can Play (1949)
Clark Gable|Band of Angels (1957)
Clark Gable|Betrayed (1954)
Clark Gable|Big Parade of Comedy, The (1964)
Clark Gable|Boom Town (1940)
Clark Gable|Brother, Can You Spare a Dime? (1975)
Clark Gable|But Not for Me (1959)
Clark Gable|Cain and Mabel (1936)
Clark Gable|Call of the Wild, The (1935)
Clark Gable|Callaway Went Thataway (1951)
Clark Gable|Candid Camera Story (Very Candid) of the Metro-Goldwyn-Mayer Pictures 1937 Convention, The (1937)
Clark Gable|Chained (1934)
Clark Gable|China Seas (1935)
Clark Gable|Christmas Party, The (1931)
Clark Gable|Classe americaine, La (1993)
Clark Gable|Combat America (1943)
Clark Gable|Command Decision (1948)
Clark Gable|Comrade X (1940)
Clark Gable|Dance, Fools, Dance (1931)
Clark Gable|Dancing Lady (1933)
Clark Gable|Declassee (1925)
Clark Gable|Easiest Way, The (1931)
Clark Gable|Finger Points, The (1931)
Clark Gable|Forbidden Paradise (1924)
Clark Gable|Forsaking All Others (1934)
Clark Gable|Free Soul, A (1931)
Clark Gable|Going Hollywood: The '30s (1984)
Clark Gable|Gone with the Wind (1939)
Clark Gable|Hell Divers (1931)
Clark Gable|Hold Your Man (1933)
Clark Gable|Hollywood Goes to Town (1938)
Clark Gable|Hollywood Hobbies (1935)
Clark Gable|Hollywood Hobbies (1939)
Clark Gable|Hollywood on Parade (1990)
Clark Gable|Hollywood on Parade No. 9 (1933)
Clark Gable|Hollywood Party (1937)
Clark Gable|Hollywood Sex Symbols (1988)
Clark Gable|Homecoming (1948)
Clark Gable|Honky Tonk (1941)
Clark Gable|Hooray for Hollywood (1975)
Clark Gable|Hucksters, The (1947)
Clark Gable|Idiot's Delight (1939)
Clark Gable|Inside Daisy Clover (1965)
Clark Gable|It Happened One Night (1934)
Clark Gable|It Started in Naples (1960)
Clark Gable|Jackie Cooper's Birthday Party (1931)
Clark Gable|James Dean Story, The (1957)
Clark Gable|Johnstown Flood, The (1926)
Clark Gable|Judy Garland's Hollywood (1997)
Clark Gable|Key to the City (1950)
Clark Gable|King and Four Queens, The (1956)
Clark Gable|Laughing Sinners (1931)
Clark Gable|Legends of Entertainment Video (1995)
Clark Gable|Lone Star (1952)
Clark Gable|Love Goddesses, The (1965)
Clark Gable|Love on the Run (1936)
Clark Gable|Manhattan Melodrama (1934)
Clark Gable|Men in White (1934)
Clark Gable|Merry Kiddo, The (1925)
Clark Gable|Merry Widow, The (1925)
Clark Gable|Misfits, The (1961)
Clark Gable|Mogambo (1953)
Clark Gable|Mutiny on the Bounty (1935)
Clark Gable|Never Let Me Go (1953)
Clark Gable|Night Flight (1933)
Clark Gable|Night Nurse (1931)
Clark Gable|No Man of Her Own (1932)
Clark Gable|North Star (1925)
Clark Gable|Northward, Ho! (1940)
Clark Gable|One Minute to Play (1926)
Clark Gable|Pacemakers, The (1925)
Clark Gable|Painted Desert, The (1931)
Clark Gable|Parnell (1937)
Clark Gable|Plastic Age, The (1925)
Clark Gable|Polly of the Circus (1932)
Clark Gable|Possessed (1931)
Clark Gable|Red Dust (1932)
Clark Gable|Run Silent Run Deep (1958)
Clark Gable|San Francisco (1936)
Clark Gable|Saratoga (1937)
Clark Gable|Screen Actors (1950)
Clark Gable|Screen Snapshots (1932)
Clark Gable|Screen Snapshots Series 23, No. 1: Hollywood in Uniform (1943)
Clark Gable|Screen Snapshots: Memories in Uniform (1954)
Clark Gable|Screen Snapshots: Stars on Horseback (1939)
Clark Gable|Secret Six, The (1931)
Clark Gable|Show Business at War (1943)
Clark Gable|Soldier of Fortune (1955)
Clark Gable|Somewhere I'll Find You (1942)
Clark Gable|Sporting Blood (1931)
Clark Gable|Starlit Days at the Lido (1935)
Clark Gable|Strange Cargo (1940)
Clark Gable|Strange Interlude (1932)
Clark Gable|Susan Lenox (Her Fall and Rise) (1931)
Clark Gable|Tall Men, The (1955)
Clark Gable|Teacher's Pet (1958)
Clark Gable|Test Pilot (1938)
Clark Gable|That's Dancing! (1985)
Clark Gable|That's Entertainment! (1974)
Clark Gable|That's Entertainment, Part II (1976)
Clark Gable|They Met in Bombay (1941)
Clark Gable|To Please a Lady (1950)
Clark Gable|Too Hot to Handle (1938)
Clark Gable|We Remember Marilyn (1996)
Clark Gable|What Price Gloria? (1925)
Clark Gable|White Man (1924)
Clark Gable|White Sister, The (1933)
Clark Gable|Wife vs. Secretary (1936)
Clark Gable|Wings Up (1943)
Clark Gable|You Can't Fool a Camera (1941)
Willie Garson|Being John Malkovich (1999)
Danny Glover|3 A.M. (2001)
Danny Glover|Angels in the Outfield (1994)
Danny Glover|Antz (1998)
Danny Glover|Barnyard, The (2005)
Danny Glover|Bat*21 (1988)
Danny Glover|Beloved (1998)
Danny Glover|Boesman and Lena (2000)
Danny Glover|Bopha! (1993)
Danny Glover|Battu (2000)
Danny Glover|Can't You Hear the Wind Howl? The Life & Music of Robert Johnson (1997)
Danny Glover|Chu Chu and the Philly Flash (1981)
Danny Glover|Collaboration of Spirits: Casting and Acting 'The Color Purple', A (2003)
Danny Glover|Color Purple, The (1985)
Danny Glover|Cookout, The (2004)
Danny Glover|Duplicity (2004)
Danny Glover|Ennis' Gift (2000)
Danny Glover|Escape from Alcatraz (1979)
Danny Glover|Flight of the Intruder (1991)
Danny Glover|Gone Fishin' (1997)
Danny Glover|Grand Canyon (1991)
Danny Glover|Hollywood on Horses (1989)
Danny Glover|How Stella Got Her Groove Back (1998)
Danny Glover|Iceman (1984)
Danny Glover|Kidnapped (1994)
Danny Glover|Lethal Weapon (1987)
Danny Glover|Lethal Weapon 2 (1989)
Danny Glover|Lethal Weapon 3 (1992)
Danny Glover|Lethal Weapon 4 (1998)
Danny Glover|Manderlay (2005)
Danny Glover|Maverick (1994)
Danny Glover|Monster, The (1999)
Danny Glover|Operation Dumbo Drop (1995)
Danny Glover|Oscar Micheaux, Film Pioneer (1981)
Danny Glover|Our Friend, Martin (1999)
Danny Glover|Out (1982)
Danny Glover|Places in the Heart (1984)
Danny Glover|Predator 2 (1990)
Danny Glover|Prince of Egypt, The (1998)
Danny Glover|Pure Luck (1991)
Danny Glover|Rabbit Ears: How the Leopard Got His Spots (1989)
Danny Glover|Rage in Harlem, A (1991)
Danny Glover|Rainmaker, The (1997)
Danny Glover|Royal Tenenbaums, The (2001)
Danny Glover|Saint of Fort Washington, The (1993)
Danny Glover|Saw (2004)
Danny Glover|Shaggy Dog, The (2005)
Danny Glover|Silverado (1985)
Danny Glover|Switchback (1997)
Danny Glover|Talking Eggs, The (1992)
Danny Glover|To Sleep with Anger (1990)
Danny Glover|Wild America (1997)
Danny Glover|Witness (1985)
Danny Glover|Woodcutter (2004)
Danny Glover|XXI Century (2003)
Cary Grant|Affair to Remember, An (1957)
Cary Grant|Alice in Wonderland (1933)
Cary Grant|Amazing Quest of Ernest Bliss, The (1936)
Cary Grant|Arsenic and Old Lace (1944)
Cary Grant|Awful Truth, The (1937)
Cary Grant|Bachelor and the Bobby-Soxer, The (1947)
Cary Grant|Big Brown Eyes (1936)
Cary Grant|Big Parade of Comedy, The (1964)
Cary Grant|Bishop's Wife, The (1947)
Cary Grant|Blonde Venus (1932)
Cary Grant|Born to Be Bad (1934)
Cary Grant|Bringing Up Baby (1938)
Cary Grant|Brother, Can You Spare a Dime? (1975)
Cary Grant|Callaway Went Thataway (1951)
Cary Grant|Canciones para despues de una guerra (1971)
Cary Grant|Cary Grant on Film (1999)
Cary Grant|Charade (1963)
Cary Grant|Crisis (1950)
Cary Grant|Destination Tokyo (1943)
Cary Grant|Devil and the Deep (1932)
Cary Grant|Dream Wife (1953)
Cary Grant|Eagle and the Hawk, The (1933)
Cary Grant|Elvis: That's the Way It Is (1970)
Cary Grant|Enter Madame (1935)
Cary Grant|Every Girl Should Be Married (1948)
Cary Grant|Father Goose (1964)
Cary Grant|Gambling Ship (1933)
Cary Grant|George Stevens: A Filmmaker's Journey (1985)
Cary Grant|Grass Is Greener, The (1960)
Cary Grant|Gunga Din (1939)
Cary Grant|His Girl Friday (1940)
Cary Grant|Holiday (1938)
Cary Grant|Hollywood on Parade No. 9 (1933)
Cary Grant|Hollywood Sex Symbols (1988)
Cary Grant|Hollywood Without Make-Up (1950)
Cary Grant|Hooray for Hollywood (1975)
Cary Grant|Hot Saturday (1932)
Cary Grant|Houseboat (1958)
Cary Grant|Howards of Virginia, The (1940)
Cary Grant|I Was a Male War Bride (1949)
Cary Grant|I'm No Angel (1933)
Cary Grant|In Name Only (1939)
Cary Grant|Indiscreet (1958)
Cary Grant|It's Showtime (1976)
Cary Grant|Judy Garland's Hollywood (1997)
Cary Grant|Ken Murray Shooting Stars (1979)
Cary Grant|Kiss and Make Up (1934)
Cary Grant|Kiss Them for Me (1957)
Cary Grant|Ladies Should Listen (1934)
Cary Grant|Last Outpost, The (1935)
Cary Grant|Legends of Entertainment Video (1995)
Cary Grant|Love Goddesses, The (1965)
Cary Grant|Madame Butterfly (1932)
Cary Grant|Merrily We Go to Hell (1932)
Cary Grant|Monkey Business (1952)
Cary Grant|Mr. Blandings Builds His Dream House (1948)
Cary Grant|Mr. Lucky (1943)
Cary Grant|My Favorite Wife (1940)
Cary Grant|Night and Day (1946)
Cary Grant|None But the Lonely Heart (1944)
Cary Grant|North by Northwest (1959)
Cary Grant|Notorious (1946)
Cary Grant|Notre Dame de la Croisette (1981)
Cary Grant|Once Upon a Honeymoon (1942)
Cary Grant|Once Upon a Time (1944)
Cary Grant|Only Angels Have Wings (1939)
Cary Grant|Operation Petticoat (1959)
Cary Grant|Penny Serenade (1941)
Cary Grant|People Will Talk (1951)
Cary Grant|Philadelphia Story, The (1940)
Cary Grant|Pirate Party on Catalina Isle (1935)
Cary Grant|Pride and the Passion, The (1957)
Cary Grant|Road to Victory (1944)
Cary Grant|Room for One More (1952)
Cary Grant|She Done Him Wrong (1933)
Cary Grant|Singapore Sue (1932)
Cary Grant|Sinners in the Sun (1932)
Cary Grant|Suspicion (1941)
Cary Grant|Suzy (1936)
Cary Grant|Sylvia Scarlett (1935)
Cary Grant|Talk of the Town, The (1942)
Cary Grant|Terror in the Aisles (1984)
Cary Grant|That Touch of Mink (1962)
Cary Grant|That's Action (1977)
Cary Grant|That's Dancing! (1985)
Cary Grant|That's Entertainment! (1974)
Cary Grant|That's Entertainment, Part II (1976)
Cary Grant|Thirty Day Princess (1934)
Cary Grant|This Is the Night (1932)
Cary Grant|To Catch a Thief (1955)
Cary Grant|Toast of New York, The (1937)
Cary Grant|Topper (1937)
Cary Grant|Topper Takes a Trip (1939)
Cary Grant|Tribute to the Will Rogers Memorial Hospital, A (1965)
Cary Grant|True Love (2003)
Cary Grant|Walk Don't Run (1966)
Cary Grant|Wedding Present (1936)
Cary Grant|When You're in Love (1937)
Cary Grant|Wings in the Dark (1935)
Cary Grant|Without Reservations (1946)
Cary Grant|Woman Accused (1933)
Charles Grodin (I)|11 Harrowhouse (1974)
Charles Grodin (I)|20000 Leagues Under the Sea (1954)
Charles Grodin (I)|Beethoven (1992)
Charles Grodin (I)|Beethoven's 2nd (1993)
Charles Grodin (I)|Catch-22 (1970)
Charles Grodin (I)|Clifford (1994)
Charles Grodin (I)|Couch Trip, The (1988)
Charles Grodin (I)|Cranium Command (1989)
Charles Grodin (I)|Dave (1993)
Charles Grodin (I)|Great Muppet Caper, The (1981)
Charles Grodin (I)|Heart and Souls (1993)
Charles Grodin (I)|Heartbreak Kid, The (1972)
Charles Grodin (I)|Heaven Can Wait (1978)
Charles Grodin (I)|Incredible Shrinking Woman, The (1981)
Charles Grodin (I)|Ishtar (1987)
Charles Grodin (I)|It's My Turn (1980)
Charles Grodin (I)|King Kong (1976)
Charles Grodin (I)|Last Resort (1986)
Charles Grodin (I)|Lonely Guy, The (1984)
Charles Grodin (I)|Midnight Run (1988)
Charles Grodin (I)|Movers and Shakers (1985)
Charles Grodin (I)|My Summer Story (1994)
Charles Grodin (I)|Real Life (1979)
Charles Grodin (I)|Rosemary's Baby (1968)
Charles Grodin (I)|Seems Like Old Times (1980)
Charles Grodin (I)|Sex and the College Girl (1964)
Charles Grodin (I)|So I Married an Axe Murderer (1993)
Charles Grodin (I)|Sunburn (1979)
Charles Grodin (I)|Taking Care of Business (1990)
Charles Grodin (I)|Thieves (1977)
Charles Grodin (I)|Woman in Red, The (1984)
Charles Grodin (I)|You Can't Hurry Love (1988)
Alec Guinness|Barnacle Bill (1957)
Alec Guinness|Bridge on the River Kwai, The (1957)
Alec Guinness|Captain's Paradise, The (1953)
Alec Guinness|Card, The (1952)
Alec Guinness|Comedians in Africa, The (1967)
Alec Guinness|Comedians, The (1967)
Alec Guinness|Cromwell (1970)
Alec Guinness|Doctor Zhivago (1965)
Alec Guinness|Evensong (1934)
Alec Guinness|Fall of the Roman Empire, The (1964)
Alec Guinness|Father Brown (1954)
Alec Guinness|Foreign Field, A (1993)
Alec Guinness|Fratello sole, sorella luna (1972)
Alec Guinness|Geisha Boy, The (1958)
Alec Guinness|Grace Kelly: The American Princess (1991)
Alec Guinness|Great Expectations (1946)
Alec Guinness|H.M.S. Defiant (1962)
Alec Guinness|Handful of Dust, A (1988)
Alec Guinness|Hitler: The Last Ten Days (1973)
Alec Guinness|Horse's Mouth, The (1958)
Alec Guinness|Hotel Paradiso (1966)
Alec Guinness|Kafka (1991)
Alec Guinness|Kind Hearts and Coronets (1949)
Alec Guinness|Ladykillers, The (1955)
Alec Guinness|Last Holiday (1950)
Alec Guinness|Lavender Hill Mob, The (1951)
Alec Guinness|Lawrence of Arabia (1962)
Alec Guinness|Little Dorrit (1988)
Alec Guinness|Lovesick (1983)
Alec Guinness|Majority of One, A (1962)
Alec Guinness|Making of 'Lawrence of Arabia', The (2003)
Alec Guinness|Making of 'The Bridge on the River Kwai', The (2000)
Alec Guinness|Malta Story (1953)
Alec Guinness|Man in the White Suit, The (1951)
Alec Guinness|Mudlark, The (1950)
Alec Guinness|Murder by Death (1976)
Alec Guinness|Mute Witness (1994)
Alec Guinness|Oliver Twist (1948)
Alec Guinness|Our Man in Havana (1959)
Alec Guinness|Passage to India, A (1984)
Alec Guinness|Pasternak (1965)
Alec Guinness|Prisoner, The (1955)
Alec Guinness|Quiller Memorandum, The (1966)
Alec Guinness|Raise the Titanic (1980)
Alec Guinness|Rowlandson's England (1955)
Alec Guinness|Run for Your Money, A (1949)
Alec Guinness|Scapegoat, The (1959)
Alec Guinness|Scrooge (1970)
Alec Guinness|Situation Hopeless... But Not Serious (1965)
Alec Guinness|Square Mile, The (1953)
Alec Guinness|Star Wars (1977)
Alec Guinness|Star Wars (1983)
Alec Guinness|Star Wars: Battlefront (2004)
Alec Guinness|Star Wars: Episode V - The Empire Strikes Back (1980)
Alec Guinness|Star Wars: Episode VI - Return of the Jedi (1983)
Alec Guinness|Stratford Adventure, The (1954)
Alec Guinness|Swan, The (1956)
Alec Guinness|To Paris with Love (1955)
Alec Guinness|To See Such Fun (1977)
Alec Guinness|Tunes of Glory (1960)
Jester Hairston|Being John Malkovich (1999)
Danial Hakimi|Cheshmane John Malkovich (2004)
Anthony Michael Hall|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Daniel Hansen|Being John Malkovich (1999)
Isaac Hanson|Being John Malkovich (1999)
Taylor Hanson|Being John Malkovich (1999)
Zac Hanson|Being John Malkovich (1999)
Reginald C. Hayes|Being John Malkovich (1999)
Dustin Hoffman|Being John Malkovich (1999)
Rhys Ifans|Adam Sandler Goes to Hell (2001)
Victor Isaac|Being John Malkovich (1999)
Carlos Jacott|Being John Malkovich (1999)
Thomas Jane|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Sylvester Jenkins|Being John Malkovich (1999)
Roy C. Johnson|Being John Malkovich (1999)
James Earl Jones|Africa: The Serengeti (1994)
James Earl Jones|Allan Quatermain and the Lost City of Gold (1987)
James Earl Jones|Allen Boesak: Choosing for Justice (1984)
James Earl Jones|Ambulance, The (1990)
James Earl Jones|Annihilation of Fish, The (1999)
James Earl Jones|Antietam: A Documentary Drama (2000)
James Earl Jones|Art of Stanley Kubrick: From Short Films to Strangelove, The (2000)
James Earl Jones|Beauty and the Beast: The Story Behind the Story (2002)
James Earl Jones|Best of the Best (1989)
James Earl Jones|Bingo Long Traveling All-Stars & Motor Kings, The (1976)
James Earl Jones|Black Indians: An American Story (2001)
James Earl Jones|Black Theatre: The Making of a Movement (1978)
James Earl Jones|Blood Tide (1982)
James Earl Jones|Bushido Blade, The (1981)
James Earl Jones|Casper: A Spirited Beginning (1997)
James Earl Jones|City Limits (1985)
James Earl Jones|Claudine (1974)
James Earl Jones|Clean Slate (1994)
James Earl Jones|Clear and Present Danger (1994)
James Earl Jones|Comedians in Africa, The (1967)
James Earl Jones|Comedians, The (1967)
James Earl Jones|Coming to America (1988)
James Earl Jones|Command & Conquer: Tiberian Sun (1999)
James Earl Jones|Conan the Barbarian (1982)
James Earl Jones|Conan Unchained: The Making of 'Conan' (2000)
James Earl Jones|Convicts (1990)
James Earl Jones|Countdown to Freedom: 10 Days That Changed South Africa (1994)
James Earl Jones|Cry, the Beloved Country (1995)
James Earl Jones|Dangerous: The Short Films (1993)
James Earl Jones|Deadly Hero (1976)
James Earl Jones|Disney's American Legends (2001)
James Earl Jones|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
James Earl Jones|Dreamrider (1993)
